ListingID,Neighbourhood,Walking time (mins),rank
11679909,Yau Tsim Mong,6.2,10.0
11680441,Yau Tsim Mong,6.2,10.0
11682313,Yau Tsim Mong,6.8,13.0
11689431,Yau Tsim Mong,43.6,193.0
11700246,Yau Tsim Mong,4.8,3.0
11721276,Yau Tsim Mong,35.4,155.0
11723954,Yau Tsim Mong,34.2,149.0
11744144,Yau Tsim Mong,33.4,145.0
11747633,Yau Tsim Mong,35.2,154.0
11752104,Yau Tsim Mong,31.0,133.0
11778475,Yau Tsim Mong,30.4,130.0
11779701,Yau Tsim Mong,35.2,154.0
11810637,Yau Tsim Mong,22.6,92.0
11812244,Yau Tsim Mong,32.0,138.0
11830094,Yau Tsim Mong,32.6,141.0
11830122,Yau Tsim Mong,37.0,163.0
11853038,Yau Tsim Mong,15.6,57.0
11853093,Yau Tsim Mong,6.8,13.0
11853937,Yau Tsim Mong,6.2,10.0
11854443,Yau Tsim Mong,6.8,13.0
11860348,Yau Tsim Mong,6.2,10.0
11872468,Yau Tsim Mong,7.0,14.0
11872942,Yau Tsim Mong,6.8,13.0
11880616,Yau Tsim Mong,34.0,148.0
11895541,Yau Tsim Mong,34.0,148.0
11914689,Yau Tsim Mong,8.0,19.0
11951040,Yau Tsim Mong,5.8,8.0
11952732,Yau Tsim Mong,6.6,12.0
11953137,Yau Tsim Mong,6.2,10.0
11953416,Yau Tsim Mong,7.0,14.0
11972820,Yau Tsim Mong,16.4,61.0
11975192,Yau Tsim Mong,9.4,26.0
12030369,Yau Tsim Mong,9.6,27.0
12061955,Yau Tsim Mong,7.4,16.0
12073385,Yau Tsim Mong,34.4,150.0
12074592,Yau Tsim Mong,6.2,10.0
12077173,Yau Tsim Mong,34.4,150.0
12163020,Yau Tsim Mong,5.6,7.0
12198660,Yau Tsim Mong,23.2,95.0
12219923,Yau Tsim Mong,20.4,81.0
12254066,Yau Tsim Mong,6.8,13.0
12254079,Yau Tsim Mong,12.2,40.0
12264892,Yau Tsim Mong,37.2,164.0
12294739,Yau Tsim Mong,42.6,188.0
12326287,Yau Tsim Mong,20.6,82.0
12370027,Yau Tsim Mong,20.4,81.0
12436387,Yau Tsim Mong,6.8,13.0
12446459,Yau Tsim Mong,32.8,142.0
12524662,Yau Tsim Mong,22.0,89.0
12545686,Yau Tsim Mong,14.2,50.0
12586395,Yau Tsim Mong,6.0,9.0
12586825,Yau Tsim Mong,4.8,3.0
12592767,Yau Tsim Mong,5.8,8.0
12610026,Yau Tsim Mong,34.2,149.0
12611870,Yau Tsim Mong,6.6,12.0
12623419,Yau Tsim Mong,6.8,13.0
12659015,Yau Tsim Mong,12.4,41.0
12710717,Yau Tsim Mong,23.6,97.0
12713316,Yau Tsim Mong,21.0,84.0
12745291,Yau Tsim Mong,23.2,95.0
12764448,Yau Tsim Mong,32.8,142.0
12773363,Yau Tsim Mong,42.2,186.0
12800556,Yau Tsim Mong,19.8,78.0
12800628,Yau Tsim Mong,23.4,96.0
12822271,Yau Tsim Mong,31.4,135.0
12874789,Yau Tsim Mong,15.2,55.0
12892155,Yau Tsim Mong,35.6,156.0
12893241,Yau Tsim Mong,36.4,160.0
12893434,Yau Tsim Mong,36.2,159.0
12906100,Yau Tsim Mong,16.6,62.0
12908059,Yau Tsim Mong,31.0,133.0
12908249,Yau Tsim Mong,30.4,130.0
12923469,Yau Tsim Mong,37.2,164.0
12925323,Yau Tsim Mong,34.0,148.0
12959364,Yau Tsim Mong,6.4,11.0
12979651,Yau Tsim Mong,34.4,150.0
13001173,Yau Tsim Mong,34.6,151.0
13006546,Yau Tsim Mong,8.4,21.0
13023763,Yau Tsim Mong,5.8,8.0
13029479,Yau Tsim Mong,7.4,16.0
13031980,Yau Tsim Mong,20.8,83.0
13032712,Yau Tsim Mong,7.8,18.0
13042510,Yau Tsim Mong,6.4,11.0
13047399,Yau Tsim Mong,7.6,17.0
13047407,Yau Tsim Mong,23.0,94.0
13047543,Yau Tsim Mong,32.4,140.0
13050042,Yau Tsim Mong,51.6,223.0
13067171,Yau Tsim Mong,34.2,149.0
13067738,Yau Tsim Mong,34.0,148.0
13084322,Yau Tsim Mong,7.6,17.0
13102421,Yau Tsim Mong,7.6,17.0
13102423,Yau Tsim Mong,6.8,13.0
13102566,Yau Tsim Mong,5.6,7.0
13102720,Yau Tsim Mong,5.8,8.0
13118568,Yau Tsim Mong,6.8,13.0
13119755,Yau Tsim Mong,22.4,91.0
13135258,Yau Tsim Mong,26.4,111.0
13183058,Yau Tsim Mong,21.4,86.0
13216041,Yau Tsim Mong,6.4,11.0
13220818,Yau Tsim Mong,6.6,12.0
13220838,Yau Tsim Mong,7.6,17.0
13257259,Yau Tsim Mong,14.0,49.0
13258715,Yau Tsim Mong,23.6,97.0
13265988,Yau Tsim Mong,21.4,86.0
13266162,Yau Tsim Mong,20.0,79.0
13269578,Yau Tsim Mong,36.4,160.0
13282672,Yau Tsim Mong,23.0,94.0
13285488,Yau Tsim Mong,36.0,158.0
13318662,Yau Tsim Mong,33.4,145.0
13318905,Yau Tsim Mong,33.4,145.0
13319033,Yau Tsim Mong,6.2,10.0
13326100,Yau Tsim Mong,7.4,16.0
13349643,Yau Tsim Mong,36.8,162.0
13349741,Yau Tsim Mong,37.8,167.0
13366426,Yau Tsim Mong,20.6,82.0
13366439,Yau Tsim Mong,15.0,54.0
13368778,Yau Tsim Mong,35.4,155.0
13407125,Yau Tsim Mong,14.6,52.0
13421619,Yau Tsim Mong,7.4,16.0
13482252,Yau Tsim Mong,6.6,12.0
13507120,Yau Tsim Mong,33.2,144.0
13551875,Yau Tsim Mong,8.6,22.0
13552159,Yau Tsim Mong,6.8,13.0
13552945,Yau Tsim Mong,34.0,148.0
13565348,Yau Tsim Mong,33.4,145.0
13579507,Yau Tsim Mong,8.6,22.0
13605982,Yau Tsim Mong,37.2,164.0
13606277,Yau Tsim Mong,33.4,145.0
13606404,Yau Tsim Mong,31.6,136.0
13611255,Yau Tsim Mong,33.2,144.0
13631000,Yau Tsim Mong,7.2,15.0
13645759,Yau Tsim Mong,19.0,74.0
13661686,Yau Tsim Mong,23.6,97.0
13661899,Yau Tsim Mong,32.2,139.0
13675272,Yau Tsim Mong,31.4,135.0
13685342,Yau Tsim Mong,30.4,130.0
13688803,Yau Tsim Mong,22.2,90.0
13706412,Yau Tsim Mong,23.6,97.0
13722902,Yau Tsim Mong,20.4,81.0
13743230,Yau Tsim Mong,34.4,150.0
13754069,Yau Tsim Mong,6.2,10.0
13815547,Yau Tsim Mong,32.6,141.0
13830298,Yau Tsim Mong,6.8,13.0
